MIDA_PER_ID|CASE_OUTCOME|STATUS|CASE_APPLIC_DTE
395||Submitted|21/03/2012 00:00
3617||Documents Received|04/01/2010 00:00
465972||Validation Checks|22/03/2012 00:00
694124||Awaiting Casework|22/03/2012 00:00
767814||With Caseworker|19/06/2014 00:00
885191|GRANT I.L.R. (KOL TEST)|Decision Made|18/06/2014 00:00
907194|Refuse ILR, Grant Family/Private LTR||20/06/2014 00:00
916501|Refuse ILR, Grant Family/Private LTR||24/03/2012 00:00
953823|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
960018|Refuse ILR, Grant Family/Private LTR||23/03/2012 00:00
992672|REFUSE I.L.R. - R.O.A.||04/01/2010 00:00
993191|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
994231|GRANT I.L.R. (EXEMPT FROM KOL)||02/01/2010 00:00
1054585|REJECT||23/03/2012 00:00
1056865|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1060939|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
1093461|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1094151|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1102316|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1103838|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1107502|GRANT I.L.R. (KOL TEST)||08/04/2015 00:00
1112657|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
1113952|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1122293|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
1153629|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1175182|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1197385|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
1200875|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1205650|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1213281|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
1236212|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1249235|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
1261937|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1263545|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1270524|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1282302|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1283727|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1289377|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1291582|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1291582|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1294458|GRANT I.L.R. (KOL TEST)||21/06/2014 00:00
1301091|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
1304550|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1310992|GRANT I.L.R. (KOL TEST)||21/06/2014 00:00
1327296|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1328617|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1347829|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
1352119|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
1361702|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
1371651|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1406953|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1417809|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1425293|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1427488|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1436997|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
1470277|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1524449|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1530375|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1533535|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1533846|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1551710|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
1552242|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
1563851|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1580895|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1601155|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
1603091|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1649974|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1653211|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1657638|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
1676262|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1682127|GRANT I.L.R. (KOL TEST)||19/06/2014 00:00
1689590|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
1689872|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1704539|GRANT I.L.R. (KOL TEST)||07/04/2015 00:00
1712306|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1713663|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
1720723|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1725800|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1736369|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1745626|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1749113|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
1752912|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
1768177|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1777386|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
1786297|GRANT I.L.R. (KOL TEST)||17/06/2014 00:00
1786449|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
1787528|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1789117|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1819476|GRANT I.L.R. (KOL TEST)||20/06/2014 00:00
1820078|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1836774|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
1841532|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1846960|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1862874|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
1871761|GRANT I.L.R. (KOL TEST)||21/06/2014 00:00
1886651|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1905388|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
1930527|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1932044|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
1933561|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1943486|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
1948460|GRANT I.L.R. (KOL TEST)||03/01/2010 00:00
1948474|GRANT I.L.R. (KOL TEST)||03/01/2010 00:00
1954670|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
1959004|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1959353|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1966599|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
1968140|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1975495|GRANT I.L.R. (KOL TEST)||07/04/2015 00:00
1975898|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1984854|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1985216|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1985510|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
1985512|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
2003116|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2008591|GRANT I.L.R. (KOL TEST)||18/06/2014 00:00
2014545|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2017340|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2018692|GRANT I.L.R. (KOL TEST)||21/06/2014 00:00
2035321|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2037627|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2039953|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2055967|GRANT I.L.R. (KOL TEST)||22/03/2012 00:00
2065977|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2070303|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2081887|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2085185|GRANT I.L.R. (KOL TEST)||21/03/2012 00:00
2086270|GRANT I.L.R. (KOL TEST)||05/01/2010 00:00
2138971|GRANT I.L.R. (KOL TEST)||24/03/2012 00:00
2144225|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2145456|GRANT I.L.R. (KOL TEST)||02/01/2010 00:00
2147088|GRANT I.L.R. (KOL TEST)||23/03/2012 00:00
2147463|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2152750|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
2154769|GRANT I.L.R. (KOL TEST)||04/01/2010 00:00
